,text
221,"Jan. 27/1957 - Comic book writer Frank Miller is born. Created: The Dark Night Returns, Batman: Year One, Daredevil: Born Again, Sin City &amp; 300. https://t.co/D72kchhRs2"
222,"Imagine being the unfortunate criminals Batman goes for on his first night out of retirement in Dark Knight Returns

Batman has been gone for 10 years and you're successfully escaping from the police when suddenly the Dark Knight lands on the hood of your car and he's PISSED lmao"
223,"@DanaosC @FAWil4 @TheBatmanFilm_ watch The Dark Night Returns (its on HBO max rn), or read the graphic novel. being the batman is essentially a compulsion for bruce wayne, its a symptom of a serious mental illness"
224,"@esdraxus @Alberto_Fallen Pues para no vender nada en los 80' historias de Frank Miller como Batman The Dark Night Returns o las obras del mismo autor como son Batman año uno, dos y tres triunfaban en los 80's. Así que no se que crisis podría a ver. Ya te digo que el único personaje en crisis era Superman"
225,"Con 2 horas 55 minutos #TheBatman de Matt Reeves va a tener una duración épica:

1. The Batman - 2:55 Hrs
2. The Dark Night Rises - 2:44 Hrs
3. The Dark Knight - 2:32 Hrs
4. Batman Begins - 2:20 Hrs
5. Batman Returns - 2:06 Hrs https://t.co/bPJ8r5S2OY"
226,@DumbGuypod @Java_jigga Imagine this guy adapting the dark night returns. Batman actually is a good and pure hero he just has a hard time expressing himself 🥺
227,"Imagining a guy who has a night of Batman films: First Batman Returns, then Batman &amp; Robin, then the Dark Knight Rises and finally Batman v Superman."
228,"@FranciscoPesky por guión y dirección, para mí es ""The Dark Night"", Michael Keaton el mejor Batman, un vórtice de caos es todo un concepto diferente de villano, y Ledger hizo historia con eso. En ""Batman Returns"" los villanos son consecuencia de injusticias pasadas y su maldad es casi anecdótica"
229,"Today we are highlighting on #Batman  The Dark Night Returns by @Cryptozoic !
.
In the solitaire Batman: The Dark Knight Returns Board Game, you play ""The World's Greatest Detective"", who's been pulled back from retirement into a gritty Gotham. 
.
1-2 players, 90 min, Ages 14+ https://t.co/sV9QtWPBeo"
230,"Revisitando las películas de Batman, creo que este es mi ranking definitivo:

The Dark Night 9/10
Batman Begins 8/10
Batman 8/10
The Dark Knight Rises 7/10
Batman Returns 6/10
Batman v. Superman 5/10
Batman Forever 3/10
Batman &amp; Robin 1/10"
231,"@ComiicSams The Dark Night Returns, there's a appearence of Superman but is mostly Batman."
232,"You are Batman 
Choose a leading lady from below to star in your movie:

Vicki Vale - Batman '89
Selina Kyle - Batman Returns 
Dr. Chase Meridian - Batman Forever 
Rachel Dawes - Batman Begins/Dark Night
Selina Kyle - The Dark Knight Rises"
233,"I’m honestly fine about Batman movies depicting a more ruthless Batman, if they’re doing one of three things:
- A younger, less experienced Batman who’s early in his career and not as refined
-An adaptation of The Dark Night Returns
-Thomas Wayne Batman"
234,"@TandwarGaming The second half was suppose to be the ""fallen hero's return to the light"" as noted in The Dark Knight Batman mostly operates at night, but in Rises he is ""standing"" with the very people who demonized him. It was filmed well but had major issues (tank tumblers for all)"
235,@Julianx042 @DCEUMX Si querían una mujer que fuera una suplente de batman hubiera sido mejor carrie kelly de the dark night returns ella tiene más madera que barba gordon
236,"@BetterCallRaul_ @peacockTV The long Halloween (1996)
A death in the family (1988-1989)
The dark night returns (1986)
Year one (1986-1987)
The killing joke (1988)
That’s just off my bookshelf.
Golden age Batman drew from pulp detective stories.
Batman begins (the one before dark night) is partially based… https://t.co/2z6D8CKSmj"
237,"@Dev2Dust Batman Returns all day and night.
It was Batman truly as the Dark Knight"
238,"@lockerxx1 @fran_mp17 @DCEUMX Se desaprovecharon oportunidades ,el robin muerto pudo ser jason y tener una escena final en la peli de The Batman de Affleck , la robin pudo ser Carrie kelly(que pudo ser la niña pelirroja de BvS) ya que se hacia referencia a The Dark Night Returns , y Dick seria Nightwing."
239,"@sebas19321 @dejememiro @_RequiemF @linkgamer64 @elgranqenk Bro nose si viste the dark night returns donde batman se retira por la baja de un robin, vuelve más agresivo (obvio nunca matando) pero también en ese momento se pasa por los huevos su promesa con sus padres (vengar a sus padres siendo un héroe)."
240,@BirinciKesin @MovieGrafMG Tam olarak The Dark Night Returns animasyonundaki batman gibiysi o senaryoyu düzgün çıkarabilselerdi keşke
241,Batman(1989) &amp; Batman Returns(1992) get a 6.8. Loved the cast. Tim Burton had an interesting goth approach. Honestly wish I watched before The Dark Night series. https://t.co/YaKVdeTVrp
242,"@victormontemayo @AlexAtlantisDC Algo parecido a esto👇🔥
https://t.co/i7tv9rQg8s
Es el final de la parte 1 de Batman: The Dark Night Returns 
The Batman da para un final asi por lo que he visto y seria excelente para presentar al Joker o algo mucho mejor."
243,"i think people forget that the dark night returns is supposed to be the end of batman, not the beginning. the stupid argument about frank miller making people think batman is built like a tank only applies to tdkr because year one has a very lean and agile bruce."
244,"10 películas para conocerme:

1. The lion 🦁 king.
2.Aladdin the return of Jafar .
3.the revenant.
4.Batman the dark night.
5. Seven pounds.
6.the joker.
7. The lord of the rings all the trilogy.
8.Forrest Gump.
9.avatar.
10.finding Nemo . https://t.co/tDdPKTzjBh"
245,"See also: the million fucking Batman maxiseries that are trying to be the next ""The Dark Night Returns"" or ""The Long Halloween"". Where is the Batgirl maxiseries? What about Nightwing?

""People only buy Batman."" I know and it sucks. HARLEY QUINN got one, but not Nightwing."
246,"@Thepotterguyk12 Batman The Dark Night Returns Part 1
Encanto
Birdboy: The Forgotten Children"
247,@Thepotterguyk12 نعم، شاهدت Batman The Dark Night Returns Part 1 و Encanto وBirdboy: The Forgotten Children
248,"FOR THE THIRD FUCKING TIME!!!

Was he this mad about Batman Returns &amp; The Dark Night Rises as well?! https://t.co/7n16PfVyUC"
249,"If you're doing a character study of Batman and include The dark night returns your study is flawed. This is an alternate take on Bruce, he's old, jaded, worn. He's not the same man as he is in main canon. https://t.co/N1wmVRkCKD"
250,@StripMarvel Eldirector de the batman esta reflejando mas esa etapa que mi opinion respeta me parece mucho mejor.. como batman the dark night return esas historias buscn su lado psicologico como aqui en la pelicula .. no es dios es humano no es un tipo normal mentalmente xd pero asi se hace
251,"@bostonrex Mirate batman the dark night return 1 y 2, esta en hbo max, una serie animada brutaal"
252,@TebogoFlames Ah come on that's like saying Captain America Civil War and The Avengers are Iron-man movies🤦🏿‍♂️. The dark night returns was the last movie that was based on Batman
253,"@moviemenfes batman (1989) 
batman returns (1992) 
batman forever (1995) 
batman &amp; robin (1997)  
batman begins (2005) 
the dark night (2008) 
the dark night rises (2012)"
254,"@OrlanKoopa Linterna, Flash y Batman. Blackest Night/Brightest day, Flashpoint y The Dark Knight Returns, son unas putas joyas."
255,@jdoedoe101101 Superman es tremendamente estatista...bien merecida tiene la golpiza que le dió batman en the dark night returns
256,"I think the Hawkeye series may just be my favourite of these Marvel series.  Especially with the latest episode.  It reminds me a lot of Frank Miller - Daredevil most obviously, but also the Batman Robin relationship in The Dark Night Returns. Like it like it."
257,"In these Box-Busting Games Coming Soon you'll set off on a wild hunt in Witcher: Old Worlds, become the night in The Dark Knights Returns: Batman, wage a war of the old ones in Cthulhu Wars and more, all with 10% off when you pre-order! https://t.co/83XRIcpfTH https://t.co/5lgLxJqizQ"
258,"In these Box-Busting Games Coming Soon you'll set off on a wild hunt in Witcher: Old Worlds, become the night in The Dark Knights Returns: Batman, wage a war of the old ones in Cthulhu Wars and more, all with 10% off when you pre-order! https://t.co/AhE8Gd2ho9 https://t.co/ILjtRV77E0"
259,"Ada 2 superhero yang setiap tayang gw tonton di bioskop. Spidey dan Batman.
92 Batman return
95 Batman forever
97 Batman n Robin
05 Batman Begin
08 The Dark Night
12 The Darknight rises
Dan selanjutnya dah ga gw tonton lagi krn gw ngerasa mentok di Batmannya Nolan"
260,@BRBNFox @anon_opin Batman gave him a good kicking in The Dark Night Returns!
261,"@anon_opin That's the reason I was never into Superman! I prefer Batman, especially the graphic novels, The Dark Night Returns especially!"
262,"Il film ""joker"", quindi, non è altro che la trasposizione cinematografica del famoso fumetto: Batman: the dark night returns, di miller e janson, con protagonista lo stesso joker al posto di Batman, e che ha come interprete principale il nostro Prandelli.

Stato detto?"
263,"@TitusNation Reminds me of the old Batman story ""The Dark Night Returns"" when he takes away people's guns and calls them the weapons of cowards"
264,"@screegdbz Wow, la verdad eso si me daría ganas de verlo. Si entrenas un poco la voz, podrías emular ese dialogo épico de Batman con Superman en ""The Dark Night Returns""
Espero te guste mi sugerencia :)"
265,"Tirando Batman, Batman Returns, Batman Forever, Batman Begins, Batman The Dark Night, The Dark Night Rises e Feira da Fruta, Batman e Robin de Joel Schumacher é o melhor filme do Batman."
266,"@erkam_oo @Bishokuyaa Le gameplay des jeux Arkham prouve le contraire mdrrrr, et aussi dans Batman The Dark Night : Return (La où il est plus âgé normalement) il est très brutal envers ses ennemis"
267,@DCComics_FR Batman the dark night returns et tous les comics barman
268,"@sofyanboudouni Princesse Mononoke
Spider-man into the spiderverse (new generation)
Batman the dark night returns part2 https://t.co/BWlw3ikzJl"
269,"@sofyanboudouni 1-shrek
2-la princesse mononoke 
3-Batman the dark night return https://t.co/O0QI7NI0Ym"
270,Im watching Batman The Dark Night Returns Pt. 2 .... i really missed my DC Animations https://t.co/8cnhW92YZd
271,"@Knight34_89 @CharlesLeeRay69 Ahora que lo decís, también me viene a la mente como un Batman the Dark Night Returns 😳😳"
272,"@Sir_Likes_A_Lot @jojicockatiel I’ll piggy back off this and say Year One is great and stands alongside The Killing Joke, Long Halloween, Arkham Asylum A serious place in serious earth, and The Dark Night Returns as some of the best Batman comic books/ graphic novels"
273,I think Bryan Cranston would be a very good live action the dark night returns Batman
274,"@saurabhsherry Batman Milkman...

The Dark Night Returns"
275,"@laORBITAdeENDOR Me da pena por solamente he leído 5 cómics! 😅

The Court of Owls
The Killing Joke
The Dark Night Returns
Batman Hush
Batman the Cult"
276,@jhon_lawrence1 Es como si empezarás a leer Batman desde The Dark Night Returns
277,@IGN The Dark Night Triumphant - Batman: The Dark Night Returns
278,"ICYMI last night

McFarlane Toys DC Multiverse Batman: The Dark Knight Returns Wave

Batman-https://t.co/BOoKKDWpDM
Superman-https://t.co/X3WHT8zbNh
Joker-https://t.co/ldM9nHeTQY
Robin-https://t.co/gCbJz47x0I

Via Entertainment Earth-https://t.co/vEguHvSjba https://t.co/A2ceE1H7Zp"
279,"@MrChickenRider @pringlepunk @McCaineNL @BatmanShilI Batman has always been fascist, have you read the dark night returns?"
280,"@PaulAnleitner It’s cause all those directors read is Batman Year 1, the Long Halloween, and the Dark Night Returns. Which are great graphic novels! But Batman is so much MORE than just those books."
281,@ToonamiSquad We are less than 24 Hours from now until the Penultimate Episode of #FenaPiratePrincess Season 1 as well as #BatmanNinja &amp; #Batman: Under The Red Hood take over a epic saturday night of #Toonami. Get Pumped for the Return of The Dark Knight on The Better Cartoon Show.👍 https://t.co/Ivdqc2DBEE
282,"@heterososharu @akiro7291 Oh 
Well Batman: The dark night returns is a classic anyone getting into comics has to read,
And so is Watchmen being basically the foundation for the deconstruction of the superhero genre,
DCeased is a reall short and fun read being basically DC’s Marvel Zombies"
283,"@gjoeldiaz Lo mejor de DC animado para mi es sin duda las de batman the dark night return creo que se llamaba.

Al menos esas disfruté de verlas."
284,"QT or Reply with your favourite batman moments. It can be from any medium.

Here is mine ❤️ A strip from The Dark Night Returns 😍 Just a badass batman. https://t.co/ZuwdO2uosC"
285,"@akiro7291 Im just the comics guy now huh?😭😭 and yea,
The Dark knight returns 
Kingdom Comes
Batman:The long Halloween
Batman:The white night
DCeased
Injustice 
All-Star Superman
The Sandman(1998 i think)
Batman:Year one 
Watchmen(kinda in there)"
286,"@DCComics The Long Halloween continues to be the best batman story in my eyes, such a classic wish this interpretation of the caped crusader was the norm and not the misinterpretation of the dark night returns that is Snyder's Batman."
287,"@MDougy7 @skrizPO Batman: Long Halloween, The Dark Knight Returns part 1 only, The black mirror and Killing Joke. Superman: All Star Superman. Flash: Flashpoint. GL Rebirth, Sinestro War, Blackest Night. JL: Tower of Babel, New frontier and Kingdom Come. Flash: Flashpoint Just some starting places"
288,@Blitzwinger The Dark night returns(movie) Batman and Superman world's finest(comic) Batman Beond(show) and lego batman 3 (game)
289,"Ciertamente la historia que inspira esta hazaña es muy muy buena “The Dark Night Returns” 

Esta historia es fría, oscura, plantea un mundo caótico, en ese mundo Supermán es un títere y hasta cierto punto, Batman es lo más grande que un humano puede ser 

5/ https://t.co/0AdjJTOBJX"
290,"Yo no se ustedes pero mi #BatmanDay consiste en poner con buenos audífonos “The Dark night returns” parte 1 y 2.

Es una joya. Ahí está todo lo que quiero para Ben y su Batman."
291,"Celebrating Batman Day with one of my favorite memories growing up. A friend loaned me ""The Dark Knight Returns"" and I would read it all the way through every night for a week straight. My all time favorite DC character, gritty and doing what's right. https://t.co/Z1KWyP5ZGR"
292,"Interstellar, les 2 Pacific Rim, Man of Steel, Superman returns, Les Kong et Godzilla, Inception, The Dark Night, Dark Night Rises, Batman Begins, 300, Hangover, Dra cula Untold, Warcraft, Steve Jobs, Jurassic World, The Great Wall, Skycraper, etc, etc."
293,"@FuhrerZakk Hmm i think i would say stories more than arcs. 
These are my favourite comic book stories
Green Lantern: Blackest night, Sinestro Corps War, 

Batman: Batman Year One(One of my favs), The Dark Knight Returns, The Court of the Owls (Introduces one of my fav villains of batman)"
294,@jessie_khahil @Itssan17 Hes the dark night returns batman who is an older batman that dont take shit. Look at the comics and animated movies body type is exactly like that
295,"@THEBRYANHITCH Elseworld stories examples include Kingdom Come, Watchmen, Superman: Red Son, All-Star Superman, Batman: The Dark Knight Returns.

Origin stories include Batman: Year One.

Also epic crossover events like Crisis, The Blackest Night, etc. https://t.co/RRCdpgyo6P"
296,"@Goderikku Je te recommande pour Batman ses trois récits qui sont indispensables, ce sont tous des one shot ( sauf The dark night returns qui a une suite mais c’est dispensable)
Les 3 coûteront 52€ https://t.co/LcVsTPblw1"
297,@Ace_of_Stars @Lexialex @Comic_Pessimist @GailSimone @pattonoswalt Batman:Year One should be followed up with The Dark Night Returns.
298,"Batman: Hush, anyone? Heart of Hush??? War Games??? FREAKING NO MAN'S LAND???

DID THEY NOT WATCH BATMAN RETURNS? OR THE DARK NIGHT RISES???"
299,"Justice League vs Suicide Squad 
2 Harley Quinn books(new 52) 
Suicide Squad (1 new52, 1 rebirth) 
Blackest Night 
New 52 JL, WW, Aquaman
The Dark Knight Returns 
Batman White Night 
Harleen (Fucjing AWESOME) 
Under the red hood"
300,@CriticaITristan Batman Returns is better than The Dark Night imo
301,"TOP 10 de las mejores películas de DC CÓMICS (1978-2021).

🥇 - The Dark Knight.
🥈 - ZSJL
🥉 - Aquaman
4️⃣ - Man of Steel.
5️⃣ - Batman Returns
6️⃣ - BvS: Dawn Of Justice UE
7️⃣ - Wonder Woman
8️⃣ - Superman 2 (1980)
9️⃣ - The Dark Night: Rises 
🔟 - Watchmen

¿El tuyo?"
302,"@StripMarvel TOP 10 de las mejores películas de DC CÓMICS (1978-2021).

🥇 - The Dark Knight.
🥈 - Batman Begins
🥉 - Batman Returns
4️⃣ - Superman
5️⃣ - Man of Steel
6️⃣ - Batman
7️⃣ - Superman 2
8️⃣ - The Suicide Squad
9️⃣ - Wonder Woman
🔟 - The Dark Night rises

¿300? Y Watchmen extras."
303,"@ShirePropaganda Still one of the best sci-fi films out there

Also fun fact: when Andrea Romano did the casting for the animated ""The Dark Knight Returns"" adaptation, she decided to cast Peter Weller as Batman because she had just seen him as Robocop the night before ^^"
304,"Luego, investigando, vi que esa isla ya se habia nombrado en el mundo DC. En Batman, The Dark Night Returns, de Frank Miller se habia producido una revolucion en esa isla.   Y casualmente, en Italia las historietas de Batman se editaban junto con las de Hugo Pratt https://t.co/QzcSsFNpkU"
305,@brucebatman007 Esto es como un pote de helado con sus 4 sabores y pones todos los que me gustan Batman Returns The Dark Night Batman Forever y Batman vs Superman con chispas de Man Of Steel y ZSJL pero si m das a elegir pese a la brillantes de la dupla Nolan/ Zimmer-Howard gana Burton/Elfman
306,"LEGO Batman Wii: The Joker’s Return: Chapter 4; In the Dark Night; Killer Moth . (the Hero’s lobby). 

#wii #game #batman https://t.co/3VXXdGq8XZ"
307,@ESPNFC Return if the dark night (Batman)
308,"zapraszam, nowe #wideo na kanale: LEGO Batman The Joker's Return Chapter 4 In The Dark Night Walkthrough https://t.co/gnsICxcFzF
#youtube #gaming #game #gameplay"
309,"@BridgeGeekdoms Loved the Snyder cut, but no this is not the greatest scene with those two. Not even close.  The Dark Knight, Batman (1989), The Batman Killing Joke, and Batman:The Dark Night Returns all have better scenes together."
310,Last night I’ve finished Batman: Year One and Batman: The Dark Knight Returns and they’re amazing! @fdellyyyy @memoryinthesun @Taylorfaline @OrianaNichelle @spookymoonkitty @Jooliasez @DCComics @FrankMillerInk  @SalSaysWhat https://t.co/mPEEKliBgs
311,"Earth-1 Superman
Under The Red Hood
Kingdom Come
Blackest Night
Batman: Eternal
The Long Halloween
Hush
Preacher
Sandman
The Death of Superman
Metal
The White Knight
War of Light
Siniestro Corps
The Dark Knight Returns
Crisis on Infinite Earths
Flash Rebirth
Batman Year One https://t.co/H6ekiO5dgM"
312,@Rufin_10 Ya Batman Hush et The Dark Night Returns qui sont lourds aussi
313,"Siempre me gusto mucho el concepto del batman de the dark night returns, una lastima que el hijo de puta de snyder solo sabe copiar viñetas."
314,"Top 4 animated #Batman films for me?
-Mask of the Phantasm
-BB Return of the Joker
-The Dark Night Returns (Parts 1&amp;2)
-Under the Red Hood

Agree? Disagree? What are your “Top 4/5?” #dc"
315,The dark night returns cartoon is the CRAZIEST Batman adaptation. This mf is a DEMON😂🥴
316,"@Pablocente Tienes que verte The Dark Night Returns (Parte 1 y 2), de animación, que es buenisima y la segunda parte es el Batman vs Superman del comic.
Yo creo que te agradará ;) https://t.co/v9qdPXJfUr"
317,"@JorgeCFer Mi top es tramposo porque no concibo THE DARK NIGHT sola,es la trilogía entera!:
1)Batman returns 
2)Trilogia NOLAN
3)Zs JUSTICE LEAGUE(no es la mejor pero engloba a los héroes de DC y,solo por eso,ya merece la pena)"
318,"@ProfesorXec Que buen comic! Uno de los más chevere es el The Dark Night Returns (cuando Batman viejo se enfrenta a supermán), es más ha salido en los últimos años una nueva saga que está muy pero muy buena de Batman se llama: The Dark Night: Death Metal. Es retorcida esa historia."
319,I hope you cutie patooties have a good night. I’m about to watch Batman: The Dark Knight Returns part 1 and knock out 😴 had another interesting day at work learning about benefits and other things. https://t.co/sOL03DZbG9
320,"@TheLoneWolf9799 @DarkDefective @ymrslvar @Linekermc Batman did not kill in the dark night returns, my guy.

You would know that if you read the comics."
321,"@MarcioAntonio E eu não sou grande fã do Nolan também. Hehe. Acho que eu perdi o ""timing"" do Batman, que deveria ter acontecido na época do ""The Dark Night Returns"" (confesso que eu ficava fascinado com a arte do Frank Miller). Mas não me pegou."
322,"@GeekZoneGZ a mi me da que es asi, este batman lo pueden poner como en un universo tipo the dark night returns o injustice con un superman que me gustaria que fuera john hamm.
Las posibilidades me ponen a volar"
323,"@LASTEXITshirts The Dark Night
Batman Begins
Batman 89
Batman Returns
The Dark Knight Rises"
324,"movies i've seen 5 times or more: open to anyone

Batman forever 
Avengers: Infinity War
Spider-Man: Far from home 
Avengers end game
The dark knight 
Howls moving castle 
Night of the living dead
The dark knight returns https://t.co/XBGh7vqgMb"
325,"@YoleocomicsESP @for_snyder Y no solo eso, por poner un ejemplo similar, en el cómic Batman The dark Night Returns, para salvar a Carrie Kelley le pega tremenda paliza a los mutantes frente a ella (O eso creo recordar). En general no diría que Batman actuó extraño, actuó estratégico."
326,@EndlessJeopardy What is Batman The Dark Night Returns? https://t.co/lyWMjfvp22
327,"@AmeliaFathiyah captain America is several times opposed to the American government in the comics and in the films of the mcu, batman also in the dark night return"
